?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_2005066>	"bulbus arteriosus outer layer"^^<http://www.w3.org/2001/XMLSchema#string>	"Composed of scattered layers of interrupted elastic lamina. Hu et al. 2001."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000831>	"sclerotome somite 17"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005411>	"common crus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000615>	"adductor arcus palatini"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010159>	"obsolete olfactory receptor cell"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4000038>	"obsolete preameloblast"^^<http://www.w3.org/2001/XMLSchema#string>	"Skeletogenic cell that has the potential to develop into an ameloblast."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000791>	"muscle pioneer somite 13"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000160>	"fenestra dorsalis nasi"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010166>	"fringe on postaxial edge of Toe V"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002141>	"annular ligament"^^<http://www.w3.org/2001/XMLSchema#string>	"Ligament that is in the eye and is located at the angle between the cornea and the iris."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000664>	"hyoid plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Azygous or paired bone that occurs on the ventral surface of the hyoid plate."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3001008>	"body warts"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001816>	"anterior nuchal plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Nuchal plate that is unpaired and part of the supraneural and in contact, or not, with the supraoccipital crest anteriorly and middle nuchal plate posteriorly."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002265>	"epineural 3"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001516>	"ceratobranchial cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngeal arch cartilage that forms the largest skeletal element of the ventral branchial arches."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000979>	"hypaxial region somite 24"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000877>	"fast muscle cell somite 14"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000372>	"interpeduncular nucleus medulla oblongata"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001394>	"neural arch 3"^^<http://www.w3.org/2001/XMLSchema#string>	"Neural arch 3 is expanded and fused to supraneural 3 as part of a neural complex roofing and protecting the neural canal."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010179>	"web glands"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000911>	"transverse process of neural arch 3"^^<http://www.w3.org/2001/XMLSchema#string>	"Endochondral bone that is the anterodorsally oriented process of the third neural arch."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000770>	"hypaxial region somite 2"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001975>	"suprabranchial artery"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000411>	"posterior crista primordium"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010708>	"levator mandibulae articularis"^^<http://www.w3.org/2001/XMLSchema#string>	"Muscle which is responsible for the closing of the jaw."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005179>	"MiP motor neuron"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000611>	"visceromotor column"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000352>	"external cellular layer"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000439>	"superficial pelvic abductor"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005340>	"nucleus of the posterior recess"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000821>	"margo suprascapularis"^^<http://www.w3.org/2001/XMLSchema#string>	"Superior margin of the scapula, which articulates with the suprascapula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001371>	"pancreatic system"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000804>	"myotome somite 20"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the somite giving rise to body wall muscle masses. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002152>	"vertebral element 12"^^<http://www.w3.org/2001/XMLSchema#string>	"Vertebra that is posteriorly adjacent to vertebra 11. May have hemal arch and rib."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000698>	"tripus"^^<http://www.w3.org/2001/XMLSchema#string>	"Endochondral bone, membrane bone, and Weberian ossicle that is an element of third vertebra. Anteriorly it attaches to the interosseus ligament and posteriorly it extends as a transformator process embedded in the tunica externa of the swimbladder."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000605>	"tentacular foramen"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000658>	"epibranchial bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Dorsal branchial arch bone that is bilaterally paired and articulates laterally with ceratobranchial cartilage or bone and medially with pharyngobranchial cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001826>	"urohyal median process"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that is part of the urohyal; it is the posterodorsally directed and median process located on the dorsal margin of the urohyal."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001813>	"preopercular sensory canal"^^<http://www.w3.org/2001/XMLSchema#string>	"Sensory canal lateral or ventral to and in close proximity with the otic and post-otic sensory canals at their union, and anteroventrally with the mandibular sensory canal. The preopercular sensory canal is bilaterally paired and associated with the preopercle bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000799>	"cartilago paraglenoidalis"^^<http://www.w3.org/2001/XMLSchema#string>	"Strip of cartilage that separates the coracoid from the scapula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000315>	"asteriscus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001719>	"caudal principal ray 7"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal principal ray that is ventrally adjacent to caudal principal ray 6."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000450>	"posterior mental process"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005080>	"anterior mesenteric artery"^^<http://www.w3.org/2001/XMLSchema#string>	"Unpaired artery departing from dorsal aorta, typically supplying the small intestine"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001312>	"dorsal anterior lateral line ganglion"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200134>	"antimere"@en	"A part in the body of an organism that corresponds to an opposite symmetrical part."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005182>	"t-interneuron"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010032>	"M. semitendinosus"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates by two tendons: one on the postero-ventral aspect of the pelvic rim, the other, a dorsal tendon from the postero-dorsal pelvic rim under the ventral edge of M. semimembranosus. Inserts on the ventral surface of the tibiofibula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000619>	"tympanosquamosal"^^<http://www.w3.org/2001/XMLSchema#string>	"Central, funnel-shaped, ossified portion of the tympanic annulus fused to the squamosal bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002242>	"scale primordium"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001841>	"interhyal-epihyal joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the interhyal and epihyal bones, or interhyal and ceratohyal cartilages. Interhyal-epihyal joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005217>	"CaV"^^<http://www.w3.org/2001/XMLSchema#string>	"Hindbrain interneuron that is part of rhombomere 7, with 2 ventral neurons in each hemi-rhombomere."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001103>	"immature posterior otolith"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000508>	"pelvic fin radial"^^<http://www.w3.org/2001/XMLSchema#string>	"Pelvic fin radials are internal skeletal supports of the pelvic fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.obo/obo/UBERON_4100011>	"postacetabular buttress"@en	"A bony process at the distal margin of the acetabulum formed by the ischium and/or the ischial peduncle of the ilium. [AD]"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000096>	"cardinal system"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010328>	"equatorial belt"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001613>	"dorsal fin middle radial"^^<http://www.w3.org/2001/XMLSchema#string>	"Dorsal fin radial that is the rod-like internal median skeletal support bone of the dorsal fin located between the dorsal fin proximal radial and dorsal fin distal radial."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000817>	"margo posterior"^^<http://www.w3.org/2001/XMLSchema#string>	"Posterior margin of the coracoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002274>	"transforming ctenoid scale"^^<http://www.w3.org/2001/XMLSchema#string>	"Ctenoid scale with two or three alternating rows of cteni marginally and truncated cteni submarginally. (Roberts 1993)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001655>	"upper pharyngeal 4 tooth"^^<http://www.w3.org/2001/XMLSchema#string>	"Tooth that is attached to the upper pharyngeal 4 tooth plate."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001981>	"vertebral element 7"^^<http://www.w3.org/2001/XMLSchema#string>	"Vertebra that is posteriorly adjacent to vertebra 6."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000288>	"supracarinalis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000449>	"posterior maxillary process dorsal process"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005412>	"transverse canal"^^<http://www.w3.org/2001/XMLSchema#string>	"Duct that crosses the midline connecting the sacculi."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002091>	"median caudal cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Cartilage associated with hypurals."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000694>	"ceratobranchial 5 tooth"^^<http://www.w3.org/2001/XMLSchema#string>	"Tooth that forms on ceratobranchial 5 cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002222>	"periventricular nucleus of ventral telencephalon"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010606>	"limb glands"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010072>	"M. pyriformis"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates on the dorso-lateral border of the distal urostyle and inserts on the dorsal surface of the crista femoris. This muscle inserts between the M. ilio-fibularis/M. glutaeus magnus and M. semimembranosus."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001531>	"epibranchial 4 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Epibranchial cartilage that is bilaterally paired and articulates laterally with ceratobranchial 4 cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200077>	"obsolete posterior iliac process"^^<http://www.w3.org/2001/XMLSchema#string>	"Distinct posterior most of the two \"double heads\" of the blade of the ilium. "^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010784>	"m. oblique internus"^^<http://www.w3.org/2001/XMLSchema#string>	"A muscular sheet in which the fibers run in right angles to those of the m. oblique externus, slanting downward anteriorly. This is one of three sheets composing the flank musculature."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000267>	"primary olfactory fiber layer"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200092>	"flexor tubercle of ungual"^^<http://www.w3.org/2001/XMLSchema#string>	"Eminence on the proximo-dorsal surface of the ungual, for attachment of flexor muscles."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010087>	"M. tibialis anticus longus"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates on the ventro-lateral surface of the medial condyle of the femur. Its tendon extends in a groove over the knee in the lateral surface of the tibiofibular head, and penetrates the M. peroneus tendon. Insertion is by a lateral and medial head on the dorso-lateral surface of the fibulare and the medial border of the proximal end of the tibiale respectively."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000745>	"webbing of bone"^^<http://www.w3.org/2001/XMLSchema#string>	"In anurans, pair of bony plates that connect the posteromedial margins of the sacral diapophyses with the lateral margins of the anterior portion of the urostyle."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200100>	"latissimus dorsi process"@en	"A bony process on the dorsal side of the proximal region of the humerus which corresponds to the insertion site of the Latissimus dorsi muscle. "^^<http://www.w3.org/2001/XMLSchema#string>
